코드,색상 이름,RGB 값
TS-1,Red Brown,"(112, 66, 65)"
TS-2,Dark Green,"(54, 69, 59)"
TS-3,Dark Yellow,"(160, 143, 89)"
TS-4,German Grey,"(64, 64, 64)"
TS-5,Olive Drab,"(83, 86, 65)"
TS-6,Matt Black,"(0, 0, 0)"
TS-7,Racing White,"(255, 255, 255)"
TS-8,Italian Red,"(186, 0, 0)"
TS-9,British Green,"(0, 64, 0)"
TS-10,French Blue,"(0, 0, 255)"
TS-11,Maroon,"(128, 0, 0)"
TS-12,Orange,"(255, 102, 0)"
TS-13,Clear,투명
TS-14,Black,"(0, 0, 0)"
TS-15,Blue,"(0, 0, 139)"
TS-16,Yellow,"(255, 255, 0)"
TS-17,Gloss Aluminium,"(192, 192, 192)"
TS-18,Metallic Red,"(178, 34, 34)"
TS-19,Metallic Blue,"(0, 0, 205)"
TS-20,Metallic Green,"(0, 128, 0)"
TS-21,Gold,"(255, 215, 0)"
TS-22,Light Green,"(144, 238, 144)"
TS-23,Light Blue,"(173, 216, 230)"
TS-24,Purple,"(128, 0, 128)"
TS-25,Pink,"(255, 192, 203)"
TS-26,Pure White,"(255, 255, 255)"
TS-27,Matt White,"(255, 255, 255)"
TS-28,Olive Drab 2,"(107, 142, 35)"
TS-29,Semi Gloss Black,"(33, 33, 33)"
TS-30,Silver Leaf,"(192, 192, 192)"
TS-31,Bright Orange,"(255, 165, 0)"
TS-32,Haze Grey,"(169, 169, 169)"
TS-33,Dull Red,"(139, 0, 0)"
TS-34,Camel Yellow,"(193, 154, 107)"
TS-35,Park Green,"(0, 128, 0)"
TS-36,Fluorescent Red,"(255, 36, 0)"
TS-37,Lavender,"(230, 230, 250)"
TS-38,Gun Metal,"(42, 42, 42)"
TS-39,Mica Red,"(178, 34, 34)"
TS-40,Metallic Black,"(33, 33, 33)"
TS-41,Coral Blue,"(0, 255, 255)"
TS-42,Light Gun Metal,"(169, 169, 169)"
TS-43,Racing Green,"(0, 100, 0)"
TS-44,Brilliant Blue,"(0, 0, 255)"
TS-45,Pearl White,"(255, 255, 255)"
TS-46,Light Sand,"(244, 164, 96)"
TS-47,Chrome Yellow,"(255, 215, 0)"
TS-48,Gunship Grey,"(47, 79, 79)"
TS-49,Bright Red,"(255, 0, 0)"
TS-50,Mica Blue,"(0, 0, 205)"
TS-51,Racing Blue,"(0, 0, 255)"
TS-52,Candy Lime Green,"(50, 205, 50)"
TS-53,Deep Metallic Blue,"(0, 0, 139)"
TS-54,Light Metallic Blue,"(173, 216, 230)"
TS-55,Dark Blue,"(0, 0, 139)"
TS-56,Brilliant Orange,"(255, 165, 0)"
TS-57,Blue Violet,"(138, 43, 226)"
TS-58,Pearl Light Blue,"(173, 216, 230)"
TS-59,Pearl Light Red,"(255, 182, 193)"
TS-60,Pearl Green,"(144, 238, 144)"
TS-61,NATO Green,"(85, 107, 47)"
TS-62,NATO Brown,"(139, 69, 19)"
TS-63,NATO Black,"(0, 0, 0)"
TS-64,Dark Mica Blue,"(0, 0, 139)"
TS-65,Pearl Clear,투명
TS-66,IJN Gray (Kure Arsenal),"(169, 169, 169)"
TS-67,IJN Gray (Sasebo Arsenal),"(169, 169, 169)"
TS-68,Wooden Deck Tan,"(210, 180, 140)"
TS-69,Linoleum Deck Brown,"(139, 69, 19)"
TS-70,Olive Drab (JGSDF),"(107, 142, 35)"
TS-71,Smoke,"(105, 105, 105)"
TS-72,Clear Blue,투명한 파란색
TS-73,Clear Orange,투명한 주황색
TS-74,Clear Red,투명한 빨간색
TS-75,Champagne Gold,"(250, 214, 165)"
TS-76,Mica Silver,"(192, 192, 192)"
TS-77,Flat Flesh,"(255, 224, 189)"
TS-78,Field Grey,"(128, 128, 128)"
TS-79,Semi Gloss Clear,투명
TS-80,Flat Clear,투명
TS-81,Royal Light Grey,"(211, 211, 211)"
TS-82,Rubber Black,"(33, 33, 33)"
TS-83,Metallic Silver,"(192, 192, 192)"
TS-84,Metallic Gold,"(255, 215, 0)"
TS-85,Bright Mica Red,"(178, 34, 34)"
TS-86,Brilliant Red (Pure Red),"(255, 0, 0)"
TS-87,Titanium Gold,"(255, 215, 0)"
TS-88,Titanium Silver,"(192, 192, 192)"
TS-89,Pearl Blue,"(173, 216, 230)"
TS-90,Brown (JGSDF),"(139, 69, 19)"
TS-91,Dark Green (JGSDF),"(0, 100, 0)"
TS-92,Metallic Orange,"(255, 140, 0)"
TS-93,Pure Blue,"(0, 0, 255)"
TS-94,Metallic Gray,"(169, 169, 169)"
TS-95,Pure Metallic Red,"(178, 34, 34)"
TS-96,Fluorescent Orange,"(255, 69, 0)"
TS-97,Pearl Yellow,"(255, 255, 0)"
TS-98,Pure Orange,"(255, 165, 0)"
TS-99,IJN Gray (Maizuru Arsenal),"(169, 169, 169)"
TS-100,Semi-Gloss Bright Gun Metal,"(105, 105, 105)"
TS-101,Base White,"(255, 255, 255)"
TS-102,Cobalt Green,"(0, 255, 255)"
